EdFiEntity,EdFiEntityPath,EdFiElementName,EdFiElementType,EdFiRequired,EdFiElementDescription,EdFiEntityDescription,CEDSElementName,CEDSElementType,CEDSElementDefinition,CEDSGlobalId,CEDSMappingNotes,CEDSMappingConfidence,CEDSDWTable,CEDSDWColumn,CEDSDWElementType,CEDSStagingTable,CEDSStagingColumn,CEDSStagingElementType,CEDSOntologyClassURI,CEDSOntologyClassLabel,CEDSOntologyConceptSchemeURI,CEDSOntologyConceptSchemeLabel,CEDSOntologyPropertyURI,CEDSOntologyPropertyLabel,CEDSOntologyPropertyNotation,CEDSOntologyPropertyRangeIncludes
EvaluationElement (TPDM),SortOrder,SortOrder,Number,0,The sort order of this Evaluation Element.,"The lowest-level Elements or criterion of performance being evaluated by rubric, quantitative measure, or aggregate survey response.",,,,,,,,,,,,,,,,,,,,
EvaluationObjectiveRating (TPDM),ObjectiveRatingResult.RatingResultTitle,RatingResultTitle,String,1,The title of Rating Result.,The rating for the component Evaluation Objective for an individual educator.,,,,,,,,,,,,,,,,,,,,
FinancialAid (TPDM),AidAmount,AidAmount,Number,0,The amount of financial aid awarded to a person for the term/year.,This entity represents the financial aid a person is awarded.,,,,,,,,,,,,,,,,,,,,
GeneralStudentProgramAssociation,ServedOutsideOfRegularSession,ServedOutsideOfRegularSession,Boolean,0,Indicates whether the student received services during the summer session or between sessions.,This association base class represents the basic relationship between students and programs.,,,,,,,,,,,,,,,,,,,,
GradebookEntry,DueDate,DueDate,Date,0,"The date the assignment, homework, or assessment is due.","This entity represents an assignment, homework, or classroom assessment to be recorded in a gradebook.",,,,,,,,,,,,,,,,,,,,
GraduationPlan,CreditsBySubject.Credits.CreditConversion,CreditConversion,Number,0,Conversion factor that when multiplied by the number of credits is equivalent to Carnegie units.,"This entity is a plan outlining the required credits, credits by subject, credits by course, and other criteria required for graduation. A graduation plan may be one or more standard plans defined by an education organization and/or individual plans for some or all students.",,,,,,,,,,,,,,,,,,,,
InternationalAddress,Country,CountryDescriptor,Descriptor,0,The name of the country. It is strongly recommended that entries use only ISO 3166 2-letter country codes.,,,,,,,,,,,,,,,,,,,,,
InterventionPrescription,InterventionPrescriptionIdentificationCode,InterventionPrescriptionIdentificationCode,String,1,A unique number or alphanumeric code assigned to an intervention prescription.,"This entity represents a formal prescription of an instructional approach focusing on the specific techniques and materials used to teach a given subject. This can be prescribed by academic research, an interventions vendor, or another entity.",,,,,,,,,,,,,,,,,,,,
LanguageInstructionProgramService,LanguageInstructionProgramService,LanguageInstructionProgramServiceDescriptor,Descriptor,0,Indicates the service being provided to the student by the language instruction program.,,,,,,,,,,,,,,,,,,,,,
LearningStandard,Namespace,Namespace,String,1,The namespace of the organization or entity who governs the standard. It is recommended the namespaces observe a URI format and begin with a domain name under the governing organization or entity control.,A statement that describes a specific competency or academic standard.,,,,,,,,,,,,,,,,,,,,
LocalAccount,ReportingTag.TagValue,TagValue,String,0,The value associated with the reporting tag.,The set of account codes defined by an education organization for a fiscal year. It provides a formal record of the debits and credits relating to the specific account.,,,,,,,,,,,,,,,,,,,,
LocalEducationAgency,CharterStatus,CharterStatusDescriptor,Descriptor,0,A school or agency providing free public elementary or secondary education to eligible students under a specific charter granted by the state legislature or other appropriate authority and designated by such authority to be a charter school.,,,,,,,,,,,,,,,,,,,,,
LocalEducationAgency,EducationOrganization.InternationalAddress.Latitude,Latitude,String,0,The geographic latitude of the physical address.,"This entity represents an administrative unit at the local level which exists primarily to operate schools or to contract for educational services. It includes school districts, charter schools, charter management organizations, or other local administrative organizations.",,,,,,,,,,,,,,,,,,,,
LocalEducationAgencyAccountability,GunFreeSchoolsActReportingStatus,GunFreeSchoolsActReportingStatusDescriptor,Descriptor,0,"An indication of whether the school or Local Education Agency (LEA) submitted a Gun-Free Schools Act (GFSA) of 1994 report to the state, as defined by Title 18, Section 921.",,,,,,,,,,,,,,,,,,,,,
ObjectiveAssessment,AssessmentPerformanceLevel.MaximumScore,MaximumScore,String,0,The maximum score to make the indicated level of performance.,This entity represents subtests that assess specific learning objectives.,,,,,,,,,,,,,,,,,,,,
OperationalUnitDimension,FiscalYear,FiscalYear,Number,1,The fiscal year for which the account operational unit dimension is valid.,"The NCES operational unit accounting dimension. This dimension is used to segregate costs by school and operational unit such as physical location, department, or other method.",,,,,,,,,,,,,,,,,,,,
OrganizationDepartment,EducationOrganization.Address.Period.EndDate,EndDate,Date,0,"The month, day, and year for the end of the period. Note: Date interpretation may vary. Ed-Fi recommends inclusive dates, but states may define dates as inclusive or exclusive. For calculations, align with local guidelines.","An organizational unit of another education organization, often devoted to a particular academic discipline, area of study, or organization function.",,,,,,,,,,,,,,,,,,,,
OtherName,OtherNameType,OtherNameTypeDescriptor,Descriptor,0,The types of alternate names for an individual.,,,,,,,,,,,,,,,,,,,,,
PerformanceEvaluationRating (TPDM),PerformanceEvaluationRatingResult.RatingResultTitle,RatingResultTitle,String,1,The title of Rating Result.,The summary rating for a Performance Evaluation across all Evaluation instruments for an individual educator.,,,,,,,,,,,,,,,,,,,,
PostSecondaryInstitution,EducationOrganization.Address.City,City,String,1,The name of the city in which an address is located.,An organization that provides educational programs for individuals who have completed or otherwise left educational programs in secondary school(s).,,,,,,,,,,,,,,,,,,,,
PostSecondaryInstitution,EducationOrganization.NameOfInstitution,NameOfInstitution,String,1,"The full, legally accepted name of the institution.",An organization that provides educational programs for individuals who have completed or otherwise left educational programs in secondary school(s).,,,,,,,,,,,,,,,,,,,,
ProgramEvaluation,ProgramEvaluationLevel.MaxNumericRating,MaxNumericRating,Number,0,The maximum numerical rating or score to achieve the evaluation rating level.,An evaluation instrument applied to evaluate a student in the context of a program. Student evaluations are typically applied by a staff member based upon a rubric.,,,,,,,,,,,,,,,,,,,,
ProgramEvaluationObjective,ProgramEvaluationObjectiveTitle,ProgramEvaluationObjectiveTitle,String,1,The name or title of the program evaluation objective.,"A subcomponent of a ProgramEvaluation, a specific student objective or domain of performance that is being evaluated.",,,,,,,,,,,,,,,,,,,,
RubricDimension (TPDM),CriterionDescription,CriterionDescription,String,1,The criterion description for the rubric dimension.,"The cells of a rubric, consisting of a qualitative decription, definition, or exemplar with the associated rubric rating and rating level.",,,,,,,,,,,,,,,,,,,,
School,EducationOrganization.Address.CongressionalDistrict,CongressionalDistrict,String,0,The congressional district in which an address is located.,This entity represents an educational organization that includes staff and students who participate in classes and educational activity groups.,,,,,,,,,,,,,,,,,,,,
School,EducationOrganization.Address.NameOfCounty,NameOfCounty,String,0,"The name of the county, parish, borough, or comparable unit (within a state) in which an address is located.",This entity represents an educational organization that includes staff and students who participate in classes and educational activity groups.,,,,,,,,,,,,,,,,,,,,
Section,EducationalEnvironment,EducationalEnvironmentDescriptor,Descriptor,0,The setting in which a student receives education and related services.,,,,,,,,,,,,,,,,,,,,,
SourceDimension,CodeName,CodeName,String,0,A description of the account source dimension.,"The NCES source dimension. This dimension is used to segregate costs by school and operational unit such as physical location, department, or other method.",,,,,,,,,,,,,,,,,,,,
Staff,Address.CountyFIPSCode,CountyFIPSCode,String,0,"The Federal Information Processing Standards (FIPS) numeric code for the county issued by the National Institute of Standards and Technology (NIST). Counties are considered to be the ""first-order subdivisions"" of each State and statistically equivalent entity, regardless of their local designations (county, parish, borough, etc.) Counties in different States will have the same code. A unique county number is created when combined with the 2-digit FIPS State Code.",This entity represents an individual who performs specified activities for any public or private education institution or agency that provides instructional and/or support services to students or staff at the early childhood level through high school completion.,,,,,,,,,,,,,,,,,,,,
Staff,Name.GenerationCodeSuffix,GenerationCodeSuffix,String,0,"An appendage, if any, used to denote an individual's generation in his family (e.g., Jr., Sr., III).",This entity represents an individual who performs specified activities for any public or private education institution or agency that provides instructional and/or support services to students or staff at the early childhood level through high school completion.,,,,,,,,,,,,,,,,,,,,
