EdFiEntity,EdFiEntityPath,EdFiElementName,EdFiElementType,EdFiRequired,EdFiElementDescription,EdFiEntityDescription,CEDSElementName,CEDSElementType,CEDSElementDefinition,CEDSGlobalId,CEDSMappingNotes,CEDSMappingConfidence,CEDSDWTable,CEDSDWColumn,CEDSDWElementType,CEDSStagingTable,CEDSStagingColumn,CEDSStagingElementType,CEDSOntologyClassURI,CEDSOntologyClassLabel,CEDSOntologyConceptSchemeURI,CEDSOntologyConceptSchemeLabel,CEDSOntologyPropertyURI,CEDSOntologyPropertyLabel,CEDSOntologyPropertyNotation,CEDSOntologyPropertyRangeIncludes
Contact,Name.FirstName,FirstName,String,1,"A name given to an individual at birth, baptism, or during another naming ceremony, or through legal change.","This entity represents a contact of a student, such as a parent, guardian or caretaker.",First Name,Alphanumeric - 75 characters maximum,"The full legal first name given to a person at birth, baptism, or through legal change.",000115,,Yes,DimPeople,FirstName,nvarchar(75),,,,http://ceds.ed.gov/terms#C200377,Person Name,,,http://ceds.ed.gov/terms#P000115,First Name,FirstName,http://www.w3.org/2001/XMLSchema#string
Contact,Name.GenerationCodeSuffix,GenerationCodeSuffix,String,0,"An appendage, if any, used to denote an individual's generation in his family (e.g., Jr., Sr., III).","This entity represents a contact of a student, such as a parent, guardian or caretaker.",Generation Code or Suffix,Alphanumeric - 10 characters maximum,"An appendage, if any, used to denote a person's generation in his family (e.g., Jr., Sr., III).",000121,,Yes,,,,,,,http://ceds.ed.gov/terms#C200377,Person Name,,,http://ceds.ed.gov/terms#P000121,Generation Code or Suffix,GenerationCodeOrSuffix,http://www.w3.org/2001/XMLSchema#string
Contact,Name.LastSurname,LastSurname,String,1,The name borne in common by members of a family.,"This entity represents a contact of a student, such as a parent, guardian or caretaker.",Last or Surname,Alphanumeric - 75 characters maximum,The full legal last name borne in common by members of a family.,000172,,Yes,DimPeople,LastOrSurname,nvarchar(75),,,,http://ceds.ed.gov/terms#C200377,Person Name,,,http://ceds.ed.gov/terms#P000172,Last or Surname,LastOrSurname,http://www.w3.org/2001/XMLSchema#string
Contact,Name.MaidenName,MaidenName,String,0,The individual's maiden name.,"This entity represents a contact of a student, such as a parent, guardian or caretaker.",Other Last Name,Alphanumeric - 35 characters maximum,A last name given to a person.,001513,"This would be used in conjuction with Other Name Type, though CEDS does not have Maiden Name listed as an option, just Previous Legal Name",Yes,,,,,,,http://ceds.ed.gov/terms#C200304,Person Other Name,,,http://ceds.ed.gov/terms#P001513,Other Last Name,OtherLastName,http://www.w3.org/2001/XMLSchema#string
Contact,Name.MiddleName,MiddleName,String,0,"A secondary name given to an individual at birth, baptism, or during another naming ceremony.","This entity represents a contact of a student, such as a parent, guardian or caretaker.",Middle Name,Alphanumeric - 75 characters maximum,"A full legal middle name given to a person at birth, baptism, or through legal change.",000184,,Yes,DimPeople,MiddleName,nvarchar(75),,,,http://ceds.ed.gov/terms#C200377,Person Name,,,http://ceds.ed.gov/terms#P000184,Middle Name,MiddleName,http://www.w3.org/2001/XMLSchema#string
Contact,Name.PersonalIdentificationDocument.DocumentTitle,DocumentTitle,String,0,The title of the document given by the issuer.,"This entity represents a contact of a student, such as a parent, guardian or caretaker.",Not in CEDS,,,000000,How does this differ from EdFi PersonalInformationVerificationDescriptor. CEDS has Personal Information Verification,Not in CEDS,,,,,,,,,,,,,,
Contact,Name.PersonalIdentificationDocument.IssuerDocumentIdentificationCode,IssuerDocumentIdentificationCode,String,0,The unique identifier on the issuer's identification system.,"This entity represents a contact of a student, such as a parent, guardian or caretaker.",Not in CEDS,,,000000,,Not in CEDS,,,,,,,,,,,,,,
Contact,Name.PersonalIdentificationDocument.IssuerName,IssuerName,String,0,Name of the entity or institution that issued the document.,"This entity represents a contact of a student, such as a parent, guardian or caretaker.",Not in CEDS,,,000000,,Not in CEDS,,,,,,,,,,,,,,
Contact,Name.PersonalTitlePrefix,PersonalTitlePrefix,String,0,"A prefix used to denote the title, degree, position, or seniority of the individual.","This entity represents a contact of a student, such as a parent, guardian or caretaker.",Personal Title or Prefix,Alphanumeric - 30 characters maximum,"An appellation, if any, used to denote rank, placement, or status (e.g., Mr., Ms., Reverend, Sister, Dr., Colonel).",000212,,Yes,DimPeople,PersonalTitleOrPrefix,nvarchar(200),,,,http://ceds.ed.gov/terms#C200377,Person Name,,,http://ceds.ed.gov/terms#P000212,Personal Title or Prefix,PersonalTitleOrPrefix,http://www.w3.org/2001/XMLSchema#string
Contact,Name.PreferredFirstName,PreferredFirstName,String,0,"The first name the individual prefers, if different from their legal first name","This entity represents a contact of a student, such as a parent, guardian or caretaker.",Other First Name,Alphanumeric - 35 characters maximum,A first name given to a person.,001514,Used in conjuction with Other Name Type = Preferred Given Name,Yes,,,,,,,http://ceds.ed.gov/terms#C200304,Person Other Name,,,http://ceds.ed.gov/terms#P001514,Other First Name,OtherFirstName,http://www.w3.org/2001/XMLSchema#string
